	WORD	PAST	PAST-PARTICIPLE	PRESENT-PARTICIPLE
215	aspirate	aspirated	aspirated	aspirating
216	aspire	aspired	aspired	aspiring
217	assail	assailled	assailled	assailling
218	assassinate	assassinated	assassinated	assassinating
219	assault	assaulted	assaulted	assaulting
220	assay	assayed	assayed	assaying
221	assemble	assembled	assembled	assembling
222	assent	assented	assented	assenting
223	assert	asserted	asserted	asserting
224	assess	assessed	assessed	assessing
225	asseverate	asseverated	asseverated	asseverating
226	assign	assigned	assigned	assigning
227	assimilate	assimilated	assimilated	assimilating
228	assist	assisted	assisted	assisting
229	associate	associated	associated	associating
230	assuage	assuaged	assuaged	assuaging
231	assume	assumed	assumed	assuming
232	assure	assured	assured	assuring
233	astonish	astonished	astonished	astonishing
234	astound	astounded	astounded	astounding
235	atomize	atomized	atomized	atomizing
236	atone	atoned	atoned	atoning
237	atrophy	atrophied	atrophied	atrophying
238	attach	attached	attached	attaching
239	attack	attacked	attacked	attacking
240	attain	attainned	attainned	attainning
241	attempt	attempted	attempted	attempting
242	attend	attended	attended	attending
243	attenuate	attenuated	attenuated	attenuating
244	attest	attested	attested	attesting
245	attire	attired	attired	attiring
246	attitudinize	attitudinized	attitudinized	attitudinizing
247	attract	attracted	attracted	attracting
248	attribute	attributed	attributed	attributing
249	attune	attuned	attuned	attuning
250	auction	auctionned	auctionned	auctionning
251	audit	auditted	auditted	auditting
252	audition	auditionned	auditionned	auditionning
253	augment	augmented	augmented	augmenting
254	augur	augurred	augurred	augurring
255	authenticate	authenticated	authenticated	authenticating
256	author	authorred	authorred	authorring
257	authorize	authorized	authorized	authorizing
258	autograph	autographed	autographed	autographing
259	automate	automated	automated	automating
260	avail	availled	availled	availling
261	avenge	avenged	avenged	avenging
262	aver	averred	averred	averring
263	average	averaged	averaged	averaging
264	avert	averted	averted	averting
265	avoid	avoidded	avoidded	avoidding
266	avow	avowed	avowed	avowing
267	await	awaitted	awaitted	awaitting
268	awaken	awakenned	awakenned	awakenning
269	award	awarded	awarded	awarding
270	awe	awed	awed	awing
271	ax	axed	axed	axing
272	axe	axed	axed	axing
273	baa	baaed	baaed	baaing
274	babble	babbled	babbled	babbling
275	baby	babied	babied	babying
276	babysit	babysat	babysat	babysitting
277	back	backed	backed	backing
278	backbite	backbit	backbit	backbiting
279	backdate	backdated	backdated	backdating
280	backfire	backfired	backfired	backfiring
281	backpedal	backpedalled	backpedalled	backpedalling
282	backslide	backslid	backslid	backsliding
283	backspace	backspaced	backspaced	backspacing
284	badger	badgerred	badgerred	badgerring
285	baffle	baffled	baffled	baffling
286	bag	bagged	bagged	bagging
287	bail	bailled	bailled	bailling
288	bait	baitted	baitted	baitting
289	bake	baked	baked	baking
290	balance	balanced	balanced	balancing
291	bale	baled	baled	baling
292	balk	balked	balked	balking
293	ball	balled	balled	balling
294	ballast	ballasted	ballasted	ballasting
295	balloon	balloonned	balloonned	balloonning
296	ballot	ballotted	ballotted	ballotting
297	bamboozle	bamboozled	bamboozled	bamboozling
298	ban	banned	banned	banning
299	band	banded	banded	banding
300	bandage	bandaged	bandaged	bandaging
301	bandy	bandied	bandied	bandying
302	bang	banged	banged	banging
303	banish	banished	banished	banishing
304	bank	banked	banked	banking
305	bankrupt	bankrupted	bankrupted	bankrupting
306	banquet	banquetted	banquetted	banquetting
307	banter	banterred	banterred	banterring
308	baptize	baptized	baptized	baptizing
309	bar	barred	barred	barring
310	barbarize	barbarized	barbarized	barbarizing
311	barbecue	barbecued	barbecued	barbecuing
312	bare	bared	bared	baring
313	bargain	bargainned	bargainned	bargainning
314	barge	barged	barged	barging
315	bark	barked	barked	barking
316	barnstorm	barnstormed	barnstormed	barnstorming
317	barrack	barracked	barracked	barracking
318	barrel	(barrelled barreled)	(barrelled barreled)	(barrelling barreling)
319	barricade	barricaded	barricaded	barricading
320	barter	barterred	barterred	barterring
321	base	based	based	basing
322	bash	bashed	bashed	bashing
323	bask	basked	basked	basking
324	bastardize	bastardized	bastardized	bastardizing
325	baste	basted	basted	basting
326	bastinado	bastinadoed	bastinadoed	bastinadoing
327	bat	batted	batted	batting
328	bate	bated	bated	bating
329	bathe	bathed	bathed	bathing
330	batten	battenned	battenned	battenning
331	batter	batterred	batterred	batterring
332	battle	battled	battled	battling
333	baulk	baulked	baulked	baulking
334	bawl	bawled	bawled	bawling
335	bay	bayed	bayed	baying
336	bayonet	bayonetted	bayonetted	bayonetting
337	be	bed	been	being
338	be (contraction)	be (contraction)ed	*NONE*	*NONE*
339	be (negated)	be (negated)ed	*NONE*	*NONE*
340	beach	beached	beached	beaching
341	beam	beammed	beammed	beamming
342	bear	bore	(borne born)	bearring
343	beard	bearded	bearded	bearding
344	beat	beat	beaten	beatting
345	beatify	beatified	beatified	beatifying
346	beautify	beautified	beautified	beautifying
347	beaver	beaverred	beaverred	beaverring
348	beckon	beckonned	beckonned	beckonning
349	become	became	become	becoming
350	bed	bedded	bedded	bedding
351	bedevil	bedevilled	bedevilled	bedevilling
352	beef	beeffed	beeffed	beeffing
353	beetle	beetled	beetled	beetling
354	befall	befell	befallen	befalling
355	befit	befitted	befitted	befitting
356	befoul	befoulled	befoulled	befoulling
357	befriend	befriended	befriended	befriending
358	beg	begged	begged	begging
359	beget	(begot begat)	begotten	begetting
360	beggar	beggarred	beggarred	beggarring
361	begin	began	begun	beginning
362	begrudge	begrudged	begrudged	begrudging
363	beguile	beguiled	beguiled	beguiling
364	behave	behaved	behaved	behaving
365	behead	beheadded	beheadded	beheadding
366	behold	beheld	beheld	beholding
367	behoove	behooved	behooved	behooving
368	behove	behoved	behoved	behoving
369	belabor	belaborred	belaborred	belaborring
370	belabour	belabourred	belabourred	belabourring
371	belay	belayed	belayed	belaying
372	belch	belched	belched	belching
373	beleaguer	beleaguerred	beleaguerred	beleaguerring
374	belie	belied	belied	belying
375	believe	believed	believed	believing
376	belittle	belittled	belittled	belittling
377	bell	belled	belled	belling
378	bellow	bellowed	bellowed	bellowing
379	belly	bellied	bellied	bellying
380	bellyache	bellyached	bellyached	bellyaching
381	bellyland	bellylanded	bellylanded	bellylanding
382	bellylaugh	bellylaughed	bellylaughed	bellylaughing
383	belong	belonged	belonged	belonging
384	belt	belted	belted	belting
385	bemoan	bemoanned	bemoanned	bemoanning
386	bend	bended	bent	bending
387	benefit	benefitted	benefitted	benefitting
388	bequeath	bequeathed	bequeathed	bequeathing
389	berate	berated	berated	berating
390	bereave	bereaved	bereft	bereaving
391	berth	berthed	berthed	berthing
392	beseech	beseeched	beseeched	beseeching
393	beseem	beseemmed	beseemmed	beseemming
394	beset	beset	beset	besetting
395	besiege	besieged	besieged	besieging
396	besmear	besmearred	besmearred	besmearring
397	besmirch	besmirched	besmirched	besmirching
398	bespeak	bespoke	bespoken	bespeakking
399	best	bested	bested	besting
400	bestir	bestirred	bestirred	bestirring
401	bestow	bestowed	bestowed	bestowing
402	bestrew	bestrewed	bestrewn	bestrewing
403	bestride	bestrode	bestridden	bestriding
404	bet	betted	betted	betting
405	betake	betook	betaken	betaking
406	bethink	bethought	bethought	bethinking
407	betide	betided	betided	betiding
408	betoken	betokenned	betokenned	betokenning
409	betray	betrayed	betrayed	betraying
410	betroth	betrothed	betrothed	betrothing
411	better	betterred	betterred	betterring
412	bevel	(bevelled beveled)	(bevelled beveled)	(bevelling beveling)
413	bewail	bewailled	bewailled	bewailling
414	beware	*NONE*	*NONE*	*NONE*
415	bewilder	bewilderred	bewilderred	bewilderring
416	bewitch	bewitched	bewitched	bewitching
417	bias	biassed	biassed	biassing
418	bib	bibbed	bibbed	bibbing
419	bicker	bickerred	bickerred	bickerring
420	bicycle	bicycled	bicycled	bicycling
421	bid	bid	(bid bade)	bidding
422	bide	bided	bided	biding
423	biff	biffed	biffed	biffing
424	bifurcate	bifurcated	bifurcated	bifurcating
425	bike	biked	biked	biking
426	bilk	bilked	bilked	bilking
427	bill	billed	billed	billing
428	billet	billetted	billetted	billetting
429	billow	billowed	billowed	billowing
430	bind	bound	bound	binding
431	birch	birched	birched	birching
432	birdie	birdied	birdied	birdiing
433	bisect	bisected	bisected	bisecting
434	bitch	bitched	bitched	bitching
435	bite	bit	bitten	biting
436	bivouac	bivouacked	bivouacked	bivouacking
437	blab	blabbed	blabbed	blabbing
438	blabber	blabberred	blabberred	blabberring
439	black	blacked	blacked	blacking
440	black-lead	black-leadded	black-leadded	black-leadding
441	blackball	blackballed	blackballed	blackballing
442	blacken	blackenned	blackenned	blackenning
443	blackguard	blackguarded	blackguarded	blackguarding
444	blackleg	blacklegged	blacklegged	blacklegging
445	blacklist	blacklisted	blacklisted	blacklisting
446	blackmail	blackmailled	blackmailled	blackmailling
447	blame	blamed	blamed	blaming
448	blanch	blanched	blanched	blanching
449	blanket	blanketted	blanketted	blanketting
450	blare	blared	blared	blaring
451	blaspheme	blasphemed	blasphemed	blaspheming
452	blast	blasted	blasted	blasting
453	blather	blatherred	blatherred	blatherring
454	blaze	blazed	blazed	blazing
455	blazon	blazonned	blazonned	blazonning
456	bleach	bleached	bleached	bleaching
457	bleat	bleatted	bleatted	bleatting
458	bleed	bled	bled	bleedding
459	bleep	bleepped	bleepped	bleepping
460	blemish	blemished	blemished	blemishing
461	blench	blenched	blenched	blenching
462	blend	blended	blended	blending
463	bless	blessed	blessed	blessing
464	blether	bletherred	bletherred	bletherring
465	blight	blighted	blighted	blighting
466	blind	blinded	blinded	blinding
467	blindfold	blindfolded	blindfolded	blindfolding
468	blink	blinked	blinked	blinking
469	blister	blisterred	blisterred	blisterring
470	blitz	blitzed	blitzed	blitzing
471	block	blocked	blocked	blocking
472	blockade	blockaded	blockaded	blockading
473	blood	bloodded	bloodded	bloodding
474	bloody	bloodied	bloodied	bloodying
475	bloom	bloommed	bloommed	bloomming
476	blossom	blossommed	blossommed	blossomming
477	blot	blotted	blotted	blotting
478	blow	blew	blown	blowing
479	blow-dry	blow-dried	blow-dried	blow-drying
480	blubber	blubberred	blubberred	blubberring
481	bludgeon	bludgeonned	bludgeonned	bludgeonning
482	blue	blued	blued	bluing
483	blue-pencil	blue-pencilled	blue-pencilled	blue-pencilling
484	bluff	bluffed	bluffed	bluffing
485	blunder	blunderred	blunderred	blunderring
486	blunt	blunted	blunted	blunting
487	blur	blurred	blurred	blurring
488	blurt	blurted	blurted	blurting
489	blush	blushed	blushed	blushing
490	bluster	blusterred	blusterred	blusterring
491	board	boarded	boarded	boarding
492	boast	boasted	boasted	boasting
493	boat	boatted	boatted	boatting
494	bob	bobbed	bobbed	bobbing
495	bode	boded	boded	boding
496	bog	bogged	bogged	bogging
497	boggle	boggled	boggled	boggling
498	boil	boilled	boilled	boilling
499	bolster	bolsterred	bolsterred	bolsterring
500	bolt	bolted	bolted	bolting
501	bomb	bombed	bombed	bombing
502	bombard	bombarded	bombarded	bombarding
503	bond	bonded	bonded	bonding
504	bone	boned	boned	boning
505	boo	booed	booed	booing
506	boob	boobbed	boobbed	boobbing
507	book	bookked	bookked	bookking
508	boom	boommed	boommed	boomming
509	boost	boosted	boosted	boosting
510	boot	bootted	bootted	bootting
511	bootleg	bootlegged	bootlegged	bootlegging
512	booze	boozed	boozed	boozing
513	border	borderred	borderred	borderring
514	bore	bored	bored	boring
515	borrow	borrowed	borrowed	borrowing
516	boss	bossed	bossed	bossing
517	botanize	botanized	botanized	botanizing
518	botch	botched	botched	botching
519	bother	botherred	botherred	botherring
520	bottle	bottled	bottled	bottling
521	bottom	bottommed	bottommed	bottomming
522	bounce	bounced	bounced	bouncing
523	bound	bounded	bounded	bounding
524	bow	bowed	bowed	bowing
525	bowdlerize	bowdlerized	bowdlerized	bowdlerizing
526	bowl	bowled	bowled	bowling
527	box	boxed	boxed	boxing
528	boycott	boycotted	boycotted	boycotting
529	brace	braced	braced	bracing
530	bracket	bracketted	bracketted	bracketting
531	brag	bragged	bragged	bragging
532	braid	braidded	braidded	braidding
533	brain	brainned	brainned	brainning
534	brainwash	brainwashed	brainwashed	brainwashing
535	braise	braised	braised	braising
536	brake	braked	braked	braking
537	branch	branched	branched	branching
538	brand	branded	branded	branding
539	brandish	brandished	brandished	brandishing
540	brave	braved	braved	braving
541	brawl	brawled	brawled	brawling
542	bray	brayed	brayed	braying
543	braze	brazed	brazed	brazing
544	brazen	brazenned	brazenned	brazenning
545	breach	breached	breached	breaching
546	break	broke	broken	breakking
547	breakfast	breakfasted	breakfasted	breakfasting
548	breast	breasted	breasted	breasting
549	breastfeed	breastfed	breastfed	breastfeedding
550	breathe	breathed	breathed	breathing
551	breed	bred	bred	breedding
552	breeze	breezed	breezed	breezing
553	brew	brewed	brewed	brewing
554	bribe	bribed	bribed	bribing
555	brick	bricked	bricked	bricking
556	bridge	bridged	bridged	bridging
557	bridle	bridled	bridled	bridling
558	brief	brieffed	brieffed	brieffing
559	brighten	brightenned	brightenned	brightenning
560	brim	brimmed	brimmed	brimming
561	bring	brought	brought	bringing
562	bristle	bristled	bristled	bristling
563	broach	broached	broached	broaching
564	broadcast	broadcasted	broadcasted	broadcasting
565	broaden	broadenned	broadenned	broadenning
566	brocade	brocaded	brocaded	brocading
567	broil	broilled	broilled	broilling
568	broker	brokerred	brokerred	brokerring
569	bronze	bronzed	bronzed	bronzing
570	brood	broodded	broodded	broodding
571	brook	brookked	brookked	brookking
572	browbeat	browbeat	browbeaten	browbeatting
573	brown	browned	browned	browning
574	browse	browsed	browsed	browsing
575	bruise	bruised	bruised	bruising
576	bruit	bruitted	bruitted	bruitting
577	brush	brushed	brushed	brushing
578	brutalize	brutalized	brutalized	brutalizing
579	bubble	bubbled	bubbled	bubbling
580	buck	bucked	bucked	bucking
581	bucket	bucketted	bucketted	bucketting
582	buckle	buckled	buckled	buckling
583	bud	budded	budded	budding
584	budge	budged	budged	budging
585	budget	budgetted	budgetted	budgetting
586	buff	buffed	buffed	buffing
587	buffet	buffetted	buffetted	buffetting
588	bug	bugged	bugged	bugging
589	bugger	buggerred	buggerred	buggerring
590	build	built	built	building
591	bulge	bulged	bulged	bulging
592	bulk	bulked	bulked	bulking
593	bulldoze	bulldozed	bulldozed	bulldozing
594	bullshit	bullshitted	bullshitted	bullshitting
595	bully	bullied	bullied	bullying
596	bum	bummed	bummed	bumming
597	bumble	bumbled	bumbled	bumbling
598	bump	bumped	bumped	bumping
599	bunch	bunched	bunched	bunching
600	bundle	bundled	bundled	bundling
601	bung	bunged	bunged	bunging
602	bungle	bungled	bungled	bungling
603	bunk	bunked	bunked	bunking
604	bunker	bunkerred	bunkerred	bunkerring
605	buoy	buoyed	buoyed	buoying
606	burble	burbled	burbled	burbling
607	burden	burdenned	burdenned	burdenning
608	burgeon	burgeonned	burgeonned	burgeonning
609	burgle	burgled	burgled	burgling
610	burke	burked	burked	burking
611	burlesque	burlesqued	burlesqued	burlesquing
612	burn	burned	burned	burning
613	burnish	burnished	burnished	burnishing
614	burp	burped	burped	burping
615	burrow	burrowed	burrowed	burrowing
616	burst	burst	burst	bursting
617	bury	buried	buried	burying
618	bus	bussed	bussed	bussing
619	bust	busted	busted	busting
620	bustle	bustled	bustled	bustling
621	busy	busied	busied	busying
622	butcher	butcherred	butcherred	butcherring
623	butt	butted	butted	butting
624	butter	butterred	butterred	butterring
625	button	buttonned	buttonned	buttonning
626	buttonhole	buttonholed	buttonholed	buttonholing
627	buttress	buttressed	buttressed	buttressing
628	buy	bought	bought	buying
629	buzz	buzzed	buzzed	buzzing
630	bypass	bypassed	bypassed	bypassing
631	cable	cabled	cabled	cabling
632	cache	cached	cached	caching
633	cackle	cackled	cackled	cackling
634	cadge	cadged	cadged	cadging
635	cage	caged	caged	caging
636	cajole	cajoled	cajoled	cajoling
637	cake	caked	caked	caking
638	calcify	calcified	calcified	calcifying
639	calcine	calcined	calcined	calcining
640	calculate	calculated	calculated	calculating
641	calender	calenderred	calenderred	calenderring
642	calibrate	calibrated	calibrated	calibrating
643	calk	calked	calked	calking
644	call	called	called	calling
645	calm	calmed	calmed	calming
646	calumniate	calumniated	calumniated	calumniating
647	calve	calved	calved	calving
648	camber	camberred	camberred	camberring
649	camouflage	camouflaged	camouflaged	camouflaging
650	camp	camped	camped	camping
651	campaign	campaigned	campaigned	campaigning
652	can	canned	canned	canning
653	canalize	canalized	canalized	canalizing
654	cancel	(cancelled canceled)	(cancelled canceled)	cancelling
655	candy	candied	candied	candying
656	cane	caned	caned	caning
657	canker	cankerred	cankerred	cankerring
658	cannibalize	cannibalized	cannibalized	cannibalizing
659	canoe	canoed	canoed	canoeing
660	canonize	canonized	canonized	canonizing
661	cant	canted	canted	canting
662	canter	canterred	canterred	canterring
663	canvass	canvassed	canvassed	canvassing
664	cap	capped	capped	capping
665	caparison	caparisonned	caparisonned	caparisonning
666	caper	caperred	caperred	caperring
667	capitalize	capitalized	capitalized	capitalizing
668	capitulate	capitulated	capitulated	capitulating
669	capsize	capsized	capsized	capsizing
670	captain	captainned	captainned	captainning
671	captivate	captivated	captivated	captivating
672	capture	captured	captured	capturing
673	carbonize	carbonized	carbonized	carbonizing
674	card	carded	carded	carding
675	care	cared	cared	caring
676	careen	careenned	careenned	careenning
677	career	careerred	careerred	careerring
678	caress	caressed	caressed	caressing
679	caricature	caricatured	caricatured	caricaturing
680	carol	carolled	carolled	carolling
681	carouse	caroused	caroused	carousing
682	carp	carped	carped	carping
683	carpet	carpetted	carpetted	carpetting
684	carry	carried	carried	carrying
685	cart	carted	carted	carting
686	cartoon	cartoonned	cartoonned	cartoonning
687	carve	carved	carved	carving
688	cascade	cascaded	cascaded	cascading
689	case	cased	cased	casing
690	cash	cashed	cashed	cashing
691	cashier	cashierred	cashierred	cashierring
692	cast	cast	cast	casting
693	castigate	castigated	castigated	castigating
694	castle	castled	castled	castling
695	castrate	castrated	castrated	castrating
696	catalogue	catalogued	catalogued	cataloguing
697	catapult	catapulted	catapulted	catapulting
698	catcall	catcalled	catcalled	catcalling
699	catch	(caught catched)	(caught catched)	catching
700	catechize	catechized	catechized	catechizing
701	categorize	categorized	categorized	categorizing
702	cater	caterred	caterred	caterring
703	caterwaul	caterwaulled	caterwaulled	caterwaulling
704	caulk	caulked	caulked	caulking
705	cause	caused	caused	causing
706	cauterize	cauterized	cauterized	cauterizing
707	caution	cautionned	cautionned	cautionning
708	cave	caved	caved	caving
709	cavil	(cavilled caviled)	(cavilled caviled)	(cavilling caviling)
710	cavort	cavorted	cavorted	cavorting
711	caw	cawed	cawed	cawing
712	cease	ceased	ceased	ceasing
713	cede	ceded	ceded	ceding
714	celebrate	celebrated	celebrated	celebrating
715	cement	cemented	cemented	cementing
716	censor	censorred	censorred	censorring
717	censure	censured	censured	censuring
718	center	centerred	centerred	centerring
719	centralize	centralized	centralized	centralizing
720	centre	centred	centred	centring
721	certificate	certificated	certificated	certificating
722	certify	certified	certified	certifying
723	chafe	chafed	chafed	chafing
724	chaff	chaffed	chaffed	chaffing
725	chagrin	(chagrined chagrinned)	(chagrined chagrinned)	(chagrining chagrinning)
726	chain	chainned	chainned	chainning
727	chair	chairred	chairred	chairring
728	chalk	chalked	chalked	chalking
729	challenge	challenged	challenged	challenging
730	champ	champed	champed	champing
731	champion	championned	championned	championning
732	chance	chanced	chanced	chancing
733	change	changed	changed	changing
734	channel	(channelled channeled)	(channelled channeled)	(channelling channeling)
735	chant	chanted	chanted	chanting
736	chap	chapped	chapped	chapping
737	chaperon	chaperonned	chaperonned	chaperonning
738	char	charred	charred	charring
739	characterize	characterized	characterized	characterizing
740	charge	charged	charged	charging
741	charm	charmed	charmed	charming
